,userid,geometry_x,geometry_y
227,08FE1AD9CA73D6D887A28FCA333934BF,POINT (-1.45605 52.39873),POINT (-1.43558 52.3954)
228,DF658A7BDEC430C00D45AA042358935E,POINT (-1.55592 52.37974),POINT (-1.56139 52.38162)
229,AB11F1D7BA7EBDC69EE5373CC6563787,POINT (-1.53343 52.45834),POINT (-1.52744 52.45215)
230,C6259DA9348854DCC0ACE01AE310F44E,POINT (-1.47321 52.39986),POINT (-1.50395 52.41261)
231,E8772970B68E3E13AC316C7BD5487DA9,POINT (-1.51384 52.43264),POINT (-1.47033 52.42396)
232,8B86BD7E4F10C20D2DF744BF3FEB109F,POINT (-1.4643 52.40224),POINT (-1.45959 52.39553)
233,E4F881AD8A44914029E2B49BB4917E99,POINT (-1.50625 52.4412),POINT (-1.57106 52.38909)
234,46B1AB6E5C094E32C895AB9F1719BEC9,POINT (-1.47934 52.40731),POINT (-1.46734 52.4042)
235,C6D78F5FBF12CFF87029E25DF8417D05,POINT (-1.4795 52.42221),POINT (-1.47944 52.42221)
236,4776F819A215DCD6E9AE7E20DA791365,POINT (-1.48601 52.41396),POINT (-1.55791 52.39501)
237,D5AFAA9060B3918E18C3887DB3D1F4F3,POINT (-1.46691 52.40228),POINT (-1.53816 52.42923)
238,57010D160F37E2C9372719772387B5E6,POINT (-1.53295 52.43302),POINT (-1.49544 52.44723)
239,43FA15DF7C7FF5118D5637938FD0F1B6,POINT (-1.51884 52.41838),POINT (-1.51454 52.41046)
240,1A2243F777BB973A99AE440D83B0BE9C,POINT (-1.60288 52.41338),POINT (-1.55229 52.40904)
241,D17EEAD3CB37DCDF08F8158DABC84580,POINT (-1.49477 52.41566),POINT (-1.49477 52.41566)
242,0B9637F809A013271B1DE6A4B11059EB,POINT (-1.44954 52.42399),POINT (-1.50496 52.40657)
243,5B842A3A5F070958483542A3580A4E2B,POINT (-1.51308 52.42289),POINT (-1.53579 52.44267)
244,D4002A8661C726B7207A20FF536E89EE,POINT (-1.51398 52.41837),POINT (-1.52253 52.40444)
245,2EE854143952D37B6ECF1675AB488441,POINT (-1.5037 52.40964),POINT (-1.51453 52.41054)
246,5032F78774FC3549247F38EB92AA1C62,POINT (-1.46153 52.45308),POINT (-1.48437 52.45522)
247,E063FEAF152C487F2F719E70842F4CBE,POINT (-1.4943 52.4053),POINT (-1.49939 52.40881)
248,7A39C62996E88792A0A484898AEE1B7E,POINT (-1.55581 52.38053),POINT (-1.56082 52.38157)
