from_cell,to_cell,trips,distance,origin,business,eatery,education,entertainment,financial,historical,industrial,medical,other,public,religious,residential,shopping,transport
"(6, 4)","(2, 3)",1,4.123105625617661,48.0,29.83683840209104,127.37919276996091,128.79577918004406,45.06429451220101,39.89284985016664,34.60579647628564,66.00686954298524,60.49400933268412,315.3604941128842,100.93434737911552,42.200027609506044,109.4418879050165,125.48651478812224,86.81233053574445
"(2, 4)","(5, 2)",1,3.605551275463989,220.0,8.330429321320159,50.29968141836936,94.24529975039272,700.0797142283405,13.903785958424985,29.22404539928727,77.79735749435521,14.310575589979559,243.54354176573725,62.695106095863345,15.159740945188625,87.64938022870852,57.15545015480621,93.38456914554978
"(2, 5)","(4, 2)",1,3.605551275463989,144.0,26.131899671926984,52.67190339845591,104.39669603677744,292.619034336511,38.17995047293708,41.449560087501006,225.60815327279832,22.7456065845217,372.7116526820445,378.1857844801222,29.64774635777066,73.04361191592437,139.89048929371427,101.9532929209975
"(5, 2)","(2, 1)",2,3.1622776601683795,35.0,0.45053047292020926,8.796726031334812,11.109822320527435,11.501973510002486,0.8271633157995951,0.117035220882876,5.923195745313641,1.2315342524856665,63.474436893202444,2.5502850609965377,0.726304866175375,7.690686126125882,3.739768591027326,8.074586800804274
"(3, 2)","(1, 0)",1,2.8284271247461903,140.0,0.004467618465261806,0.01918078997689845,0.02474060649053965,1.0426895738930368,0.010010290342972988,0.0010095672126116829,0.01074893741294439,0.009694322434659893,5.404564490328307,0.003919725384575063,0.003924149963340685,0.01762259679902336,0.013431793593545523,0.022682811478257053
"(3, 5)","(2, 5)",4,1.0,262.0,6.288799781579819,59.08417839754753,36.53730698741684,18.29745652119953,10.032835101907136,12.750345093647308,43.83556704850188,7.061365235897804,149.14861420611481,34.86795158245434,8.376616011645346,57.803138227429834,55.24284380141148,51.98163604963204
"(2, 4)","(4, 4)",3,2.0,220.0,43.69051800424231,54.214193156527664,95.51736228653925,677.2917905069188,37.319899410144146,18.696467165352857,99.74303977570165,44.73355353857264,267.5372158377737,58.36329614957263,49.18216684139543,97.72057641256775,79.81660492787404,86.85779507485717
"(4, 7)","(4, 3)",1,4.0,0.0,62.689429651651366,67.84606713009237,97.01055746025166,540.4582058511877,73.53216452977804,30.81880141310693,70.6733555386608,62.11272870087375,295.12375275696166,65.06819030748221,81.56835957935128,103.74595668282838,78.92149529788566,85.16142551824497
"(4, 3)","(2, 0)",1,3.605551275463989,170.0,0.004475680190171613,0.02599975545557778,0.03277532408324179,1.6215998108623897,0.005902597611240622,0.00022948228605029192,0.017248983860880755,0.008708118212896144,4.872430477661961,0.007289064113831469,0.0051066031799448285,0.02256767672884452,0.010919223734585818,0.02357615630054929
"(2, 4)","(1, 2)",3,2.23606797749979,220.0,3.786580845255882,44.95950803932582,39.565477300940536,19.597566474873368,9.7945306310907,9.41680594418715,46.81226913786224,10.965834485996615,123.20477932615172,22.880112388053092,4.711792861803704,54.80929370030977,38.27258682109884,60.690148160997914
"(2, 0)","(2, 5)",1,5.0,21.0,6.288799781579819,59.08417839754753,36.53730698741684,18.29745652119953,10.032835101907136,12.750345093647308,43.83556704850188,7.061365235897804,149.14861420611481,34.86795158245434,8.376616011645346,57.803138227429834,55.24284380141148,51.98163604963204
"(1, 1)","(3, 4)",1,3.605551275463989,217.0,84.77603521386126,251.69167133051673,131.2163052858617,75.7338357232314,90.50328939090478,46.61810456333695,105.55672024299007,75.95027795197979,698.8790611247633,91.71320835729958,75.06481986370832,100.59168373010507,208.93390018212787,126.87238368188311
"(5, 4)","(2, 1)",1,4.242640687119285,271.0,0.45053047292020926,8.796726031334812,11.109822320527435,11.501973510002486,0.8271633157995951,0.117035220882876,5.923195745313641,1.2315342524856665,63.474436893202444,2.5502850609965377,0.726304866175375,7.690686126125882,3.739768591027326,8.074586800804274
"(4, 2)","(6, 4)",1,2.8284271247461903,142.0,6.489308369901843,2.8236772486402537,21.711826006052235,22.313674124543507,8.828080231552711,1.3200687947778826,17.80097385518442,6.481353602979254,38.93578854529226,10.25350732785865,8.914039923741118,35.55124674235763,11.292827408772368,20.397513889807538
"(3, 3)","(4, 2)",1,1.4142135623730951,174.0,26.131899671926984,52.67190339845591,104.39669603677744,292.619034336511,38.17995047293708,41.449560087501006,225.60815327279832,22.7456065845217,372.7116526820445,378.1857844801222,29.64774635777066,73.04361191592437,139.89048929371427,101.9532929209975
"(5, 6)","(5, 7)",1,1.0,9.0,0.0002530780574808093,0.0004990908078717059,0.00031093986333090767,9.95216464844825e-12,0.0009626368657321363,6.220102905280157e-13,0.0013149294881090324,7.108689034605894e-13,9.95216464844825e-12,0.000775591543484455,0.0006573203252057104,0.00023940563587936217,3.7289773434596135e-05,0.000300290130448982
"(1, 1)","(4, 3)",2,3.605551275463989,217.0,62.689429651651366,67.84606713009237,97.01055746025166,540.4582058511877,73.53216452977804,30.81880141310693,70.6733555386608,62.11272870087375,295.12375275696166,65.06819030748221,81.56835957935128,103.74595668282838,78.92149529788566,85.16142551824497
"(4, 4)","(4, 6)",1,2.0,181.0,0.1913320550865007,0.6942894397181557,1.2720977543431018,5.595367825926443,0.1781153204247974,0.009974195469560514,1.8091816088608386,0.520436688576882,71.48224032938535,0.770939112294974,0.3167351990228713,1.6450356311148244,0.6255967140461655,1.3776200991364242
"(5, 6)","(6, 5)",1,1.4142135623730951,9.0,0.7700028424549229,0.9424207159225533,5.174622279256135,20.049988607829068,0.9928021885352838,0.4846856014172113,6.8983923540043675,0.5515468771720127,31.130485608485063,3.80688467666813,1.199785766438458,8.926585081532622,3.466334746065492,4.692224197821662
"(2, 2)","(4, 1)",2,2.23606797749979,230.0,3.352831259457775,7.188881389062845,14.512797389868638,139.6984843652626,5.129466772190241,1.3853292956550542,125.35997603413752,2.4894845942097663,345.1371056552784,81.92103704158896,3.1540363886271514,7.343448424842643,17.25839116071495,16.19850886433249
"(2, 3)","(3, 5)",2,2.23606797749979,159.0,13.532536606277962,50.606285975811424,69.03624246262254,34.97180105143469,17.98066846527245,2.990778033219235,67.07879713048425,13.814319060075226,153.96539258391428,31.472798579392954,13.756207099539738,72.57430584108658,59.35479847805848,80.30636889480218
"(4, 4)","(1, 2)",1,3.605551275463989,181.0,3.786580845255882,44.95950803932582,39.565477300940536,19.597566474873368,9.7945306310907,9.41680594418715,46.81226913786224,10.965834485996615,123.20477932615172,22.880112388053092,4.711792861803704,54.80929370030977,38.27258682109884,60.690148160997914
"(5, 7)","(5, 6)",1,1.0,0.0,0.12083574073074957,0.18687621848582786,0.16103054860343513,1.7904231542321196,0.1647490259929543,0.010013932348971449,0.49673704425666526,0.02993551829820164,10.512300409656111,0.32550636473249095,0.1405588146755553,0.14936119893191324,0.06837378048262045,0.14637135851140515
"(6, 5)","(5, 5)",3,1.0,162.0,8.710798488677037,7.336391564730275,19.480120074405853,646.8380812799819,5.653881232676752,3.3374660332907586,20.618363927726133,4.006180358904859,91.41235413163805,23.04027102147727,7.584306706412268,23.536986307707473,18.757182851361414,15.77228065322948
"(5, 3)","(3, 1)",1,2.8284271247461903,214.0,1.119895136251192,11.191245612213427,12.473884145355559,34.034771294467625,1.808051832916971,0.49260303749498663,15.839446456549519,2.3257728660352583,133.24781044711406,23.87742865714991,2.6379939047493948,13.557132701472609,7.667944084026084,17.952324694773026
"(4, 6)","(4, 7)",3,1.0,13.0,0.0012533837312650698,0.001877547931087899,0.003383459374379873,9.95216464844825e-12,0.0010707974463566054,6.220102905280157e-13,0.004876210701011358,0.0035579326929006147,9.95216464844825e-12,0.002064107540782802,0.0020053321138938573,0.004430500334625971,0.0016060858629801094,0.003701588754907441
"(4, 4)","(2, 0)",3,4.47213595499958,181.0,0.004475680190171613,0.02599975545557778,0.03277532408324179,1.6215998108623897,0.005902597611240622,0.00022948228605029192,0.017248983860880755,0.008708118212896144,4.872430477661961,0.007289064113831469,0.0051066031799448285,0.02256767672884452,0.010919223734585818,0.02357615630054929
"(4, 2)","(4, 5)",1,3.0,142.0,7.788467680133899,24.518561593663783,51.10065850884895,358.3727139617971,5.653310598952266,3.3531636530298097,65.54782632779336,9.115160413284078,165.73800733192243,29.483995004107474,8.292569443301447,59.981570537320934,31.54939247084672,51.19604758098904
"(6, 5)","(6, 5)",1,0.0,162.0,0.7700028424549229,0.9424207159225533,5.174622279256135,20.049988607829068,0.9928021885352838,0.4846856014172113,6.8983923540043675,0.5515468771720127,31.130485608485063,3.80688467666813,1.199785766438458,8.926585081532622,3.466334746065492,4.692224197821662
"(5, 6)","(1, 2)",1,5.656854249492381,9.0,3.786580845255882,44.95950803932582,39.565477300940536,19.597566474873368,9.7945306310907,9.41680594418715,46.81226913786224,10.965834485996615,123.20477932615172,22.880112388053092,4.711792861803704,54.80929370030977,38.27258682109884,60.690148160997914
"(0, 2)","(2, 1)",2,2.23606797749979,95.0,0.45053047292020926,8.796726031334812,11.109822320527435,11.501973510002486,0.8271633157995951,0.117035220882876,5.923195745313641,1.2315342524856665,63.474436893202444,2.5502850609965377,0.726304866175375,7.690686126125882,3.739768591027326,8.074586800804274
"(3, 2)","(5, 2)",1,2.0,140.0,8.330429321320159,50.29968141836936,94.24529975039272,700.0797142283405,13.903785958424985,29.22404539928727,77.79735749435521,14.310575589979559,243.54354176573725,62.695106095863345,15.159740945188625,87.64938022870852,57.15545015480621,93.38456914554978
"(2, 0)","(0, 0)",1,2.0,21.0,6.220102905280157e-13,0.00034376700701230337,0.005040836135014131,0.26609253097655855,0.00035032309696925585,2.651052291790225e-06,0.000579923773099558,0.0002669424665986984,0.6029781818092368,0.0007697692693799916,7.108689034605894e-13,0.0016831450618875103,0.00010437961157453037,0.0005136735308639632
"(3, 6)","(4, 3)",1,3.1622776601683795,100.0,62.689429651651366,67.84606713009237,97.01055746025166,540.4582058511877,73.53216452977804,30.81880141310693,70.6733555386608,62.11272870087375,295.12375275696166,65.06819030748221,81.56835957935128,103.74595668282838,78.92149529788566,85.16142551824497
"(6, 2)","(2, 2)",1,4.0,0.0,7.2575234191939675,67.39801960584053,91.69458369480724,36.93946151612205,10.258089523309115,13.716888022291284,73.47911232106145,16.57153054414776,175.68504157685913,46.89462572841081,10.290965934689766,76.73165934458792,43.519313186597465,93.37474374131773
"(2, 1)","(5, 2)",2,3.1622776601683795,213.0,8.330429321320159,50.29968141836936,94.24529975039272,700.0797142283405,13.903785958424985,29.22404539928727,77.79735749435521,14.310575589979559,243.54354176573725,62.695106095863345,15.159740945188625,87.64938022870852,57.15545015480621,93.38456914554978
"(3, 5)","(3, 1)",1,4.0,262.0,1.119895136251192,11.191245612213427,12.473884145355559,34.034771294467625,1.808051832916971,0.49260303749498663,15.839446456549519,2.3257728660352583,133.24781044711406,23.87742865714991,2.6379939047493948,13.557132701472609,7.667944084026084,17.952324694773026
"(0, 0)","(5, 5)",1,7.0710678118654755,47.0,8.710798488677037,7.336391564730275,19.480120074405853,646.8380812799819,5.653881232676752,3.3374660332907586,20.618363927726133,4.006180358904859,91.41235413163805,23.04027102147727,7.584306706412268,23.536986307707473,18.757182851361414,15.77228065322948
"(3, 4)","(2, 1)",2,3.1622776601683795,169.0,0.45053047292020926,8.796726031334812,11.109822320527435,11.501973510002486,0.8271633157995951,0.117035220882876,5.923195745313641,1.2315342524856665,63.474436893202444,2.5502850609965377,0.726304866175375,7.690686126125882,3.739768591027326,8.074586800804274
"(4, 6)","(2, 4)",1,2.8284271247461903,13.0,28.665955302855984,90.37188763192283,91.74478345560853,30.02167750496218,44.33955139909707,12.65494667965405,94.47344507238844,36.44079316473,312.013721314822,52.01746720103258,42.12770144501052,143.76805719748975,154.50471958939696,92.93570303871432
"(2, 0)","(2, 4)",1,4.0,21.0,28.665955302855984,90.37188763192283,91.74478345560853,30.02167750496218,44.33955139909707,12.65494667965405,94.47344507238844,36.44079316473,312.013721314822,52.01746720103258,42.12770144501052,143.76805719748975,154.50471958939696,92.93570303871432
"(6, 4)","(4, 4)",1,2.0,48.0,43.69051800424231,54.214193156527664,95.51736228653925,677.2917905069188,37.319899410144146,18.696467165352857,99.74303977570165,44.73355353857264,267.5372158377737,58.36329614957263,49.18216684139543,97.72057641256775,79.81660492787404,86.85779507485717
"(5, 2)","(2, 2)",1,3.0,35.0,7.2575234191939675,67.39801960584053,91.69458369480724,36.93946151612205,10.258089523309115,13.716888022291284,73.47911232106145,16.57153054414776,175.68504157685913,46.89462572841081,10.290965934689766,76.73165934458792,43.519313186597465,93.37474374131773
"(0, 2)","(1, 3)",2,1.4142135623730951,95.0,11.841573600084502,38.69718131539255,30.026943446538624,13.827421347643803,19.246870723172684,1.4094215918423096,36.32780427604181,27.72722475808643,123.28773842356406,24.613246573764194,12.85240229849643,55.50553608951881,28.12783903383562,49.36524736430755
"(5, 2)","(5, 4)",2,2.0,35.0,42.71978694910011,31.709251921835353,74.72530708747082,1476.1339717087296,31.409381292591792,9.117670166310583,30.538984509258427,26.796708442691127,125.65431883815964,61.66629928333215,42.3467366546818,107.33149229078073,76.50752574739144,66.11851482467495
"(4, 2)","(5, 6)",1,4.123105625617661,142.0,0.12083574073074957,0.18687621848582786,0.16103054860343513,1.7904231542321196,0.1647490259929543,0.010013932348971449,0.49673704425666526,0.02993551829820164,10.512300409656111,0.32550636473249095,0.1405588146755553,0.14936119893191324,0.06837378048262045,0.14637135851140515
"(3, 4)","(2, 0)",1,4.123105625617661,169.0,0.004475680190171613,0.02599975545557778,0.03277532408324179,1.6215998108623897,0.005902597611240622,0.00022948228605029192,0.017248983860880755,0.008708118212896144,4.872430477661961,0.007289064113831469,0.0051066031799448285,0.02256767672884452,0.010919223734585818,0.02357615630054929
"(1, 2)","(3, 4)",1,2.8284271247461903,204.0,84.77603521386126,251.69167133051673,131.2163052858617,75.7338357232314,90.50328939090478,46.61810456333695,105.55672024299007,75.95027795197979,698.8790611247633,91.71320835729958,75.06481986370832,100.59168373010507,208.93390018212787,126.87238368188311
"(4, 6)","(6, 3)",1,3.605551275463989,13.0,15.85564094146371,13.874421701912677,20.035033845666874,11.004791465950403,22.13152044271518,1.9882679469266509,19.84459828150294,21.17218309823535,29.20577116237073,25.237577544944934,25.01579627344697,29.386302715606288,12.172607048771344,30.529732118413765
"(6, 2)","(5, 6)",1,4.123105625617661,0.0,0.12083574073074957,0.18687621848582786,0.16103054860343513,1.7904231542321196,0.1647490259929543,0.010013932348971449,0.49673704425666526,0.02993551829820164,10.512300409656111,0.32550636473249095,0.1405588146755553,0.14936119893191324,0.06837378048262045,0.14637135851140515
"(6, 4)","(3, 5)",1,3.1622776601683795,48.0,13.532536606277962,50.606285975811424,69.03624246262254,34.97180105143469,17.98066846527245,2.990778033219235,67.07879713048425,13.814319060075226,153.96539258391428,31.472798579392954,13.756207099539738,72.57430584108658,59.35479847805848,80.30636889480218
"(5, 2)","(1, 2)",1,4.0,35.0,3.786580845255882,44.95950803932582,39.565477300940536,19.597566474873368,9.7945306310907,9.41680594418715,46.81226913786224,10.965834485996615,123.20477932615172,22.880112388053092,4.711792861803704,54.80929370030977,38.27258682109884,60.690148160997914
"(6, 5)","(5, 4)",1,1.4142135623730951,162.0,42.71978694910011,31.709251921835353,74.72530708747082,1476.1339717087296,31.409381292591792,9.117670166310583,30.538984509258427,26.796708442691127,125.65431883815964,61.66629928333215,42.3467366546818,107.33149229078073,76.50752574739144,66.11851482467495
