from_cell,to_cell,trips,distance,origin,business,eatery,education,leisure,financial,historical,industrial,medical,other,public,religious,residential,shopping,transport
"(5, 5)","(3, 6)",1,2.23606797749979,75.0,66.76004778719908,0.4954135677978824,60.914399222981146,51.09243183052711,49.930180741332,50.309854000384,165.9284924121462,63.9104205262114,41.080623045744424,47.25159907276289,1.0483903274276203,88.25561863893121,46.72255522815794,72.23057358947463
"(6, 5)","(5, 6)",1,1.4142135623730951,12.0,6.053342587426014,0.08240597490101433,10.056645113576394,9.676093727935534,13.11297298819437,9.32928001365507,20.613586854583613,13.684840822613204,8.524408770565968,6.711110722565522,0.2186965022594566,12.927127690040136,5.149295539068638,13.156778923975157
"(6, 6)","(6, 3)",1,3.0,6.0,1.6753945239528956,0.08471831136757778,1.2289279698472055,0.5345600273476464,0.08584810540436415,1.6087364996190703,0.47231779012735886,0.9571269758358489,2.383609723114733,0.809802014624192,0.20081604624168703,1.1761834719315933,0.10580845960575735,1.799645874338527
"(2, 2)","(5, 3)",2,3.1622776601683795,40.0,28.754093673661657,3.12110732115215,26.058431124892696,13.599036979757578,10.098986722104023,37.1948032092839,10.164245637610389,17.719062507506983,30.377216344505605,12.424600162228323,4.226215284180028,28.697787168051715,8.651937113357896,30.31724437960171
"(3, 3)","(3, 1)",1,2.0,76.0,25.078126674351427,0.15685853055847687,33.73426550704554,32.88230849913279,12.649218467949058,23.823778529930806,42.897030512521056,16.158829231129072,29.70968890862305,29.8237867256224,0.04317325102911871,32.05145472634843,13.648735337179394,45.593425148961835
"(7, 4)","(3, 4)",1,4.0,0.0,389.1025234277569,43.67984133826393,294.19555657303414,458.474825054336,433.18716638321433,482.1752582160346,149.22320235285648,307.76457826824344,416.7951692941318,396.0103095434674,45.61299231527612,240.57013599752045,473.9755311089889,306.6981918656148
"(4, 1)","(4, 5)",4,4.0,6.0,108.04968376247618,8.15418140511863,135.22225103208615,114.24107752924769,141.18983626037857,119.0792416565078,242.40737121915905,177.64814942800496,98.98621570925688,90.92166700211594,11.963690988936005,172.8215546621472,107.81132970190166,156.39322071570516
"(6, 5)","(5, 4)",3,1.4142135623730951,12.0,48.48827354720605,5.653593388375378,58.499401066708145,39.774057114338255,38.738188564906984,37.112260226882135,36.58236557920779,72.70228563120149,47.59123909881049,40.78388996505062,8.121511668647045,51.76262982752973,79.7656735622332,52.03889505087984
"(5, 1)","(5, 2)",4,1.0,2.0,8.95798919062937,0.4825842693911562,7.25490120599553,9.224039927878858,4.591741438048259,9.316552746159388,8.469876625493306,4.43814076155784,8.588622389348293,4.2880140510160905,0.5944766870735283,9.125141726649835,3.1325464658743596,9.79782049853547
"(5, 4)","(2, 4)",1,3.0,90.0,70.56030710831497,9.494023959816857,59.36056831709318,143.3391279244708,96.36506448512544,108.94778245751631,28.508487610260907,53.55338632935437,81.71624098124664,76.95189249352762,10.01950842862598,55.97676047937298,91.40673737623,75.80170746738571
