,userid,geometry_x,geometry_y
175,49ADD5895DB6BA8A324E041022357A46,POINT (-1.80133 52.55746),POINT (-1.80132 52.55744)
176,CE9F748EF9242C46DCC88D2EC7BB4D4C,POINT (-1.82867 52.44187),POINT (-1.86404 52.45054)
177,8741135B8CC901CD0AD1376A67A7B443,POINT (-1.90844 52.43622),POINT (-1.94866 52.45806)
178,4A1FE7DF9322A449DCD537F0B0BFC82B,POINT (-1.82688 52.51791),POINT (-1.82885 52.51451)
179,5E17CE73047B77986E1BF7ED7A6E22C6,POINT (-1.78903 52.49145),POINT (-1.77656 52.49359)
180,2D1747D1E08C425EFC24EDA3A0A92E00,POINT (-1.95607 52.41957),POINT (-1.97048 52.3988)
181,4F970B2EB49AD472FB8EB5F146AEC591,POINT (-1.77995 52.4796),POINT (-1.8852 52.5172)
182,544583E4E3990310B451B252866CDE1B,POINT (-1.83109 52.49003),POINT (-1.84202 52.49595)
183,3931F191BFBC5D950BFA9C53FA07C4BE,POINT (-2.00646 52.43373),POINT (-1.97214 52.39949)
184,610689BD63F14327981B8718BEDB506A,POINT (-1.81403 52.51701),POINT (-1.82565 52.51637)
185,CCB04ECB4D3EB5F5D45EDD9B4039950E,POINT (-1.84006 52.46566),POINT (-1.85643 52.47955)
186,BB2E1D3D8F06865AE9A88B15CCF3449C,POINT (-1.77732 52.49889),POINT (-1.89312 52.50557)
187,A6FC19EECF632C3BDFF21D362C7F14C6,POINT (-1.86573 52.45679),POINT (-1.8689 52.4787)
188,CCB9DB76B33490C7736069D2B0952349,POINT (-1.86367 52.45843),POINT (-1.866 52.45538)
189,FC46B7C5AB1293549A6CB3792AA4629D,POINT (-2.00529 52.4526),POINT (-1.91469 52.44984)
190,15D412B473E96B8164A69153F69AAB92,POINT (-1.82757 52.55955),POINT (-1.78069 52.53275)
191,D3C2195154B816242C221C455985D36A,POINT (-1.92135 52.423),POINT (-1.90217 52.4677)
192,671A37C0B124F2F8B53E8C5C5FBD3055,POINT (-1.77594 52.4831),POINT (-1.76815 52.47935)
